valid_time_gmt,temp,uv_index
1541531640,58,1
1541532420,58,0
1541533140,58,0
1541534040,58,0
1541537640,61,0
1541539080,59,0
1541539860,58,0
1541541240,58,0
1541544840,58,0
1541548020,59,0
1541548440,59,0
1541549640,59,0
1541551380,59,0
1541552040,59,0
1541555640,58,0
1541557080,58,0
1541559240,57,0
1541562840,57,0
1541566440,55,0
1541570040,54,0
1541573640,51,0
1541577240,51,0
1541580840,50,0
1541584440,51,0
1541588040,52,0
1541591640,52,0
1541595240,53,0
1541598840,55,1
1541602440,57,2
1541606040,60,2
1541609640,62,2
1541613240,63,1
1541616840,62,1
1541620440,62,0
1541624040,61,0
1541627640,59,0
1541631240,59,0
1541634840,59,0
1541638440,57,0
1541642040,57,0
1541645640,56,0
1541649240,55,0
1541652840,56,0
1541656440,56,0
1541660040,54,0
1541663640,53,0
1541667240,51,0
1541670840,50,0
1541674440,47,0
1541678040,47,0
1541681640,47,0
1541685240,49,1
1541688840,50,1
1541692440,51,1
1541696040,53,2
1541699640,55,2
1541703240,56,1
1541706840,57,1
1541710440,55,0
1541714040,53,0
1541717640,52,0
1541721240,51,0
1541724840,49,0
1541728440,48,0
1541732040,48,0
1541735640,46,0
1541739240,44,0
1541742840,44,0
1541746440,43,0
1541750040,42,0
1541753640,40,0
1541757240,40,0
1541760840,42,0
1541764440,43,0
1541768040,44,0
1541771640,45,0
1541775240,47,1
1541778840,48,1
1541782440,50,1
1541785740,52,1
1541786040,51,1
1541789040,51,1
1541789280,52,1
1541789640,50,1
1541790900,50,1
1541792520,50,0
1541793240,50,0
1541795460,50,0
1541796420,50,0
1541796840,50,0
1541798100,50,0
1541798700,50,0
1541799180,50,0
1541799600,50,0
1541800440,50,0
1541800860,50,0
1541801940,49,0
1541803260,49,0
1541804040,49,0
1541805420,50,0
1541807640,50,0
1541809620,50,0
1541811240,50,0
1541814840,50,0
1541816580,50,0
1541818440,50,0
1541819640,49,0
1541821140,49,0
1541822040,49,0
1541823480,50,0
1541824860,49,0
1541825640,49,0
1541828820,48,0
1541829240,48,0
1541829780,48,0
1541832840,48,0
1541834220,48,0
1541836440,47,0
1541840040,46,0
1541843640,43,0
1541847240,44,0
1541850840,42,0
1541854440,43,0
1541858040,44,1
1541861640,43,1
1541865240,43,2
1541868840,44,2
1541872440,44,2
1541876040,44,1
1541879640,43,1
1541883240,41,0
1541886840,39,0
1541890440,38,0
1541894040,37,0
1541897640,35,0
1541901240,35,0
1541904840,34,0
1541908440,33,0
1541912040,33,0
1541915640,32,0
1541919240,32,0
1541922840,32,0
1541926440,31,0
1541930040,31,0
1541933640,31,0
1541937240,32,0
1541940840,33,0
1541944440,35,1
1541948040,38,2
1541951640,42,3
1541955240,43,3
1541958840,45,2
1541962440,46,2
